measured_variable,codeset_id,unit,harmonized_unit,measurement_concept_name,conversion_formula
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac [Units/volume] in Serum or Plasma,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac panel | Serum or Plasma | Chemistry Panels,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac panel | Serum or Plasma | Chemistry Panels,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac panel | Serum or Plasma | Chemistry Panels,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac panel | Serum or Plasma | Chemistry Panels,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac panel | Serum or Plasma | Chemistry Panels,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac panel | Serum or Plasma | Chemistry Panels,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac | Bld-Ser-Plas,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac | Bld-Ser-Plas,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac | Bld-Ser-Plas,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac | Bld-Ser-Plas,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac | Bld-Ser-Plas,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac | Bld-Ser-Plas,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac | Blood venous | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac | Blood venous | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac | Blood venous | Chemistry - non-challenge,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac | Blood venous | Chemistry - non-challenge,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac | Blood venous | Chemistry - non-challenge,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac | Blood venous | Chemistry - non-challenge,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac panel | Serum or Plasma | Chemistry Panels,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac panel | Serum or Plasma | Chemistry Panels,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac panel | Serum or Plasma | Chemistry Panels,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac panel | Serum or Plasma | Chemistry Panels,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac panel | Serum or Plasma | Chemistry Panels,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac panel | Serum or Plasma | Chemistry Panels,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T cardiac measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T cardiac measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T cardiac measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T cardiac measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T cardiac measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T cardiac measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac panel - Serum or Plasma by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac panel - Serum or Plasma by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac panel - Serum or Plasma by High sensitivity method,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac panel - Serum or Plasma by High sensitivity method,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac panel - Serum or Plasma by High sensitivity method,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac panel - Serum or Plasma by High sensitivity method,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,"Troponin I.cardiac [Presence] in Serum, Plasma or Blood by Rapid immunoassay",x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,"Troponin I.cardiac [Presence] in Serum, Plasma or Blood by Rapid immunoassay",x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,"Troponin I.cardiac [Presence] in Serum, Plasma or Blood by Rapid immunoassay",x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,"Troponin I.cardiac [Presence] in Serum, Plasma or Blood by Rapid immunoassay",x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,"Troponin I.cardiac [Presence] in Serum, Plasma or Blood by Rapid immunoassay",x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,"Troponin I.cardiac [Presence] in Serum, Plasma or Blood by Rapid immunoassay",x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac [Presence] in Blood,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac [Presence] in Blood,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac [Presence] in Blood,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac [Presence] in Blood,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac [Presence] in Blood,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac [Presence] in Blood,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac | Blood | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac | Blood | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac | Blood | Chemistry - non-challenge,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac | Blood | Chemistry - non-challenge,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac | Blood | Chemistry - non-challenge,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac | Blood | Chemistry - non-challenge,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Blood,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Blood,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Blood,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Blood,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Blood,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Blood,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac | Serum or Plasma | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac | Serum or Plasma | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac | Serum or Plasma | Chemistry - non-challenge,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac | Serum or Plasma | Chemistry - non-challenge,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac | Serum or Plasma | Chemistry - non-challenge,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac | Serum or Plasma | Chemistry - non-challenge,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Blood,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Blood,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Blood,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Blood,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Blood,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Blood,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Venous blood,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Venous blood,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Venous blood,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Venous blood,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Venous blood,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Venous blood,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Serum troponin T measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Serum troponin T measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Serum troponin T measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Serum troponin T measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Serum troponin T measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Serum troponin T measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac [Interpretation] in Serum or Plasma Qualitative by High sensitivity method,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Plasma troponin T measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Plasma troponin T measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Plasma troponin T measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Plasma troponin T measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Plasma troponin T measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Plasma troponin T measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac panel - Serum or Plasma by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac panel - Serum or Plasma by High sensitivity method,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac panel - Serum or Plasma by High sensitivity method,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac panel - Serum or Plasma by High sensitivity method,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac panel - Serum or Plasma by High sensitivity method,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac panel - Serum or Plasma by High sensitivity method,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,"Troponin, qualitative",x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,"Troponin, qualitative",x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,"Troponin, qualitative",x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,"Troponin, qualitative",x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,"Troponin, qualitative",x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,"Troponin, qualitative",x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac | Blood | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac | Blood | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac | Blood | Chemistry - non-challenge,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac | Blood | Chemistry - non-challenge,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac | Blood | Chemistry - non-challenge,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac | Blood | Chemistry - non-challenge,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac | Serum or Plasma | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac | Serum or Plasma | Chemistry - non-challenge,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac | Serum or Plasma | Chemistry - non-challenge,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac | Serum or Plasma | Chemistry - non-challenge,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac | Serum or Plasma | Chemistry - non-challenge,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac | Serum or Plasma | Chemistry - non-challenge,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,High sensitivity cardiac troponin T measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,High sensitivity cardiac troponin T measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,High sensitivity cardiac troponin T measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,High sensitivity cardiac troponin T measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,High sensitivity cardiac troponin T measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,High sensitivity cardiac troponin T measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T measurement,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T measurement,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T measurement,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T measurement,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T measurement,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac | Blood venous,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac | Blood venous,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac | Blood venous,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac | Blood venous,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac | Blood venous,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac | Blood venous,x
"Troponin all types, ng/mL",623367088,picogram per milliliter,nanogram per milliliter,Troponin T.cardiac [Presence] in Serum or Plasma,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per liter,nanogram per milliliter,Troponin T.cardiac [Presence] in Serum or Plasma,x*0.001
"Troponin all types, ng/mL",623367088,nanogram per deciliter,nanogram per milliliter,Troponin T.cardiac [Presence] in Serum or Plasma,x*0.01
"Troponin all types, ng/mL",623367088,milligram per liter,nanogram per milliliter,Troponin T.cardiac [Presence] in Serum or Plasma,x*1000
"Troponin all types, ng/mL",623367088,milligram per deciliter,nanogram per milliliter,Troponin T.cardiac [Presence] in Serum or Plasma,x*10000
"Troponin all types, ng/mL",623367088,microgram per liter,nanogram per milliliter,Troponin T.cardiac [Presence] in Serum or Plasma,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,x*0.001
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,x*0.001
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,Leukocytes [#/volume] in Blood by Manual count,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,White blood cell count in blood,x*0.001
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,White blood cell count in blood,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,White blood cell count in blood,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,White blood cell count in blood,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,White blood cell count in blood,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,White blood cell count in blood,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,White blood cell count in blood,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,White blood cell count in blood,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,White blood cell count in blood,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,x*0.001
"White blood cell count, x10E3/uL",138719030,thousand per liter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,x*0.000001
"White blood cell count, x10E3/uL",138719030,thousand per cubic millimeter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,x
"White blood cell count, x10E3/uL",138719030,million per microliter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,x*1000
"White blood cell count, x10E3/uL",138719030,kilounit per liter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,None
"White blood cell count, x10E3/uL",138719030,cells per microliter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,x*0.001
"White blood cell count, x10E3/uL",138719030,billion per liter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,x
"White blood cell count, x10E3/uL",138719030,billion cells per liter,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,x
"White blood cell count, x10E3/uL",138719030,10*9/L,thousand per microliter,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,x
"White blood cell count, x10E3/uL",138719030,thousand per milliliter,thousand per microliter,White blood cell estimate,x*0.001
